 Óbitos por causas evitáveis de 5 a 74 anos - Brasil
Óbitos p/Residênc por Unidade da Federação e Ano do Óbito
Período:1996-2019
"Unidade da Federação";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"11 Rondônia";3118;3154;3618;3548;3762;4142;4162;4324;4305;4132;4073;3754;4215;4618;4839;4697;5103;4865;4959;4976;5342;5187;5047;5164;105104
"12 Acre";1267;1300;1329;1242;1427;1425;1495;1489;1526;1549;1592;1653;1691;1722;1841;1903;2023;2023;2034;2075;2260;2372;2525;2456;42219
"13 Amazonas";4601;4650;4948;5299;5949;6019;6158;6182;6452;6639;6818;7091;7785;7855;8284;8803;9086;9189;9766;10226;10354;10593;10870;11336;184953
"14 Roraima";613;588;700;834;889;782;869;888;911;925;942;986;954;1001;1125;1065;1123;1275;1235;1376;1363;1596;1797;1799;25636
"15 Pará";10012;11041;11961;12415;12593;14049;14137;15218;15594;16092;16573;17121;18685;19062;20359;20501;21229;21429;22158;23168;24050;24615;24970;24690;431722
"16 Amapá";915;895;873;971;1008;1185;1163;1164;1202;1117;1127;1201;1308;1315;1405;1536;1670;1734;1800;1904;1964;1968;2117;2229;33771
"17 Tocantins";2061;2151;2372;2536;2561;2898;2954;3024;3119;3043;3100;3410;3592;3746;4022;4086;4002;4133;4334;4324;4531;4784;4545;4555;83883
"21 Maranhão";7594;8427;9283;8486;9782;11849;12652;13336;13819;14385;13660;14400;15368;15718;16120;17563;17836;18674;19632;20025;20605;20681;20287;20040;360222
"22 Piauí";3933;4455;4810;4866;6452;6839;7189;7577;7496;7886;8076;8149;8507;8566;8714;9402;9688;9831;10269;10475;10619;10615;10647;10708;195769
"23 Ceará";15595;16275;16745;18362;17984;19290;20977;21744;22153;21568;21977;22111;23425;23779;24721;25812;27504;28778;28903;29716;29030;31676;30902;29351;568378
"24 Rio Grande do Norte";6145;6120;6181;6312;6594;6856;7157;6913;7429;7369;7260;7740;8337;8810;8507;9714;9903;10280;10656;10908;11844;11799;11707;11725;206266
"25 Paraíba";8751;8738;8914;8757;9282;9529;9867;9859;10553;10481;10480;10985;12007;12309;12793;13299;13479;13850;13525;13935;14532;14032;14034;14202;278193
"26 Pernambuco";27286;28794;30304;29969;30959;30756;30695;30730;31670;30894;31085;31743;32483;32451;32532;33612;33326;33660;33344;35528;37974;37260;35659;36037;778751
"27 Alagoas";7687;7924;8437;7719;8165;8802;9139;8962;9462;9374;9728;10508;10429;10956;11575;12075;11745;12265;12325;12192;12885;12605;11863;12077;248899
"28 Sergipe";4343;4361;4810;5226;5330;5319;5516;5330;5540;5542;5633;5593;6063;6325;6589;6741;7110;7409;7363;8122;8229;8026;7714;7686;149920
"29 Bahia";30739;30025;31934;33212;34157;35240;36407;36696;37358;37508;39079;39798;42357;44206;45491;46262;47769;47942;49105;50116;51648;52576;52033;52701;1004359
"31 Minas Gerais";60408;60891;61021;62580;59951;60991;60800;64602;66305;65367;68001;67636;68012;68948;71258;72227;72739;72540;73102;73442;76464;75928;74469;76125;1633807
"32 Espírito Santo";10765;10479;11506;11392;11628;11464;11591;11740;12088;11913;12372;12602;13010;12877;13070;13089;13209;13064;13118;13020;13300;13748;13411;13799;298255
"33 Rio de Janeiro";77080;74209;75104;73635;71948;72966;73882;72838;73037;70672;72008;72835;73728;73905;74355;74329;72692;74693;74482;74697;79500;77532;79752;81334;1791213
"35 São Paulo";155419;152166;151097;154449;155131;153187;151511;151440;150999;145536;147455;146545;148646;151301;153948;155199;154773;157635;157751;160062;164608;161409;163859;165989;3710115
"41 Paraná";34973;34765;35780;35406;35805;35447;36540;36595;38254;37439;38151;38483;40025;40506;41005;41654;41645;41528;40457;41389;43182;40922;41730;41857;933538
"42 Santa Catarina";17932;17342;17554;17751;18017;17912;18394;18628;19280;18745;18960;20016;19856;20936;21080;21657;21548;21414;21906;21996;23334;23018;23442;24023;484741
"43 Rio Grande do Sul";42373;41087;43033;42178;42218;42406;42571;42909;43699;42559;42995;44152;43479;44758;44727;45131;45279;46530;45704;45380;48056;47145;47448;47321;1063138
"50 Mato Grosso do Sul";7062;7007;7012;7255;7010;7157;7147;7684;7908;7884;8134;8122;8317;8401;9000;8950;9033;9237;9115;9187;9897;9463;9690;9769;199441
"51 Mato Grosso";5624;6253;6938;7289;7751;7995;8495;8380;8794;8873;8867;8757;9519;9694;10084;10251;10609;10695;11170;11032;11397;11276;11526;11522;222791
"52 Goiás";14136;15344;15538;15878;15689;15877;16997;17089;18237;17691;17835;18504;19928;20026;21096;21864;22906;23157;23793;24189;23918;24266;24093;24229;472280
"53 Distrito Federal";5641;5771;5791;5908;5890;6038;6136;6194;6482;6236;6260;6464;6682;6873;6804;7196;7151;7053;7429;7234;7254;7210;7061;7339;158097
"Total";566073;564212;577593;583475;587932;596420;604601;611535;623672;611419;622241;630359;648408;660664;675344;688618;694180;704883;709435;720694;748140;742302;743198;750063;15665461
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
